discord,expedition 1,expedition 2,expedition 3,,notes,,,,Total expeditions,115,Nash EV,55.43010068,54.43462564,55.63253209,54.86975849,53.75002489
noah1921,73,89,,,Sheet creator,,,,Mean EV(k seashells),52.23,,52.94018937,52.85858485,50.88192064,51.85659882,53.39988469
Abd,100,90,89,,Requested in public chat,,NOTE:,GTO,Cell,Expedition %,Hunters,Ev 100% sheet,Model 50% GTO / 50% sheet EV,50% GTO / 25% sheet / 25% random,50% GTO / 40% sheet / 10% random,100% GTO (sanity check only)
Caleb,100,90,89,,DM,,GTO VALUES ARE APPROXIMATIONS,0.01348836074,24,1.74%,2,48.13953488,50.79030771,43.80413991,47.74446892,53.75001822
Tushar,70,60,,,Public channel,,RESULTS FROM SIMULATIONS,0.05767443081,70,5.22%,4,56.95754717,55.30730364,57.13931611,56.02582828,53.74999328
Pain,100,90,89,,Slightly shitposty,,WITH FLOATING POINT,0.02720993972,41,1.74%,3,64.8853211,58.79471181,53.0604253,56.35842991,53.74940116
Gondo,87,85,,,Public post,,ANY DIFFERENCE IN EV,0.009303010114,21,0.87%,2,54.88636364,54.31159747,42.76937184,49.01996496,53.74874437
MaceoCK,47,77,60,,Publicly posted with tag,,IS PURELY AN ANOMOLY,0.04372104849,60,4.35%,4,53.90625,53.82797354,54.39375237,54.05286678,53.74992408
FelixK,83,55,,,Publicly posted with tag,,OF THESE INACCURACIES,0.03558136956,47,3.48%,3,54.41275168,54.07935608,53.01841193,53.64992358,53.75002114
Luctia,79,82,,,DM,,,0.0644182824,82,5.22%,5,60.19148936,56.78874982,58.43084981,57.43438827,53.75015138
KoKonuts,24,35,,,DM,,IN PERFECT GTO ALL EVS,0.0713946832,87,5.22%,5,63.86170213,58.37134651,60.00506533,59.01404125,53.75029472
anon#1,70,41,80,,DM,,SHOULD BE EQUAL,0.06162787002,80,6.09%,5,54.11764706,53.93320596,56.58705034,54.96430197,53.7500178
anon#2,73,80,,,DM,,EXCEPT FOR 12 WHICH SUCKS,0.01883712518,35,2.61%,3,46.80232558,50.03617773,46.92502398,48.74349013,53.75009258
200iq_gone_rogue,52,85,,,"Public channel, might make second bid",,,0.06186049452,73,5.22%,4,59.39858491,56.43329004,58.26096571,57.15042502,53.74998448
pseudonam,52,83,,,Publicly posted with tag,,,0.07418603709,89,9.57%,5,45.82835821,49.47409023,55.16252565,51.6026236,53.75000408
Kingvt,80,90,79,,Public channel,,,0.05953443849,100,5.22%,8,56.74342105,55.20625301,56.47135465,55.70543021,53.75017151
anon#3,89,77,52,,DM,,Contact noah1921 on discord to,0.05558078804,90,6.09%,7,51.57807309,52.641768,54.87457548,53.51272592,53.75025994
julian,60,70,,,DM,,be added to the sheet,0.00372180907,17,2.61%,2,27.66509434,36.528364,33.2181392,35.12814057,53.74800869
Tyler,73,89,,,Public channel with tag,,,0.05744162446,77,4.35%,5,61.77906977,57.4855992,57.98753,57.68532519,53.75011807
tla,85,89,,,Public channel,,,0.06581396295,83,6.09%,5,56.14705882,54.92238497,57.57258831,55.95263824,53.74999561
thomastess,70,82,87,,,,,0.06860435228,85,6.09%,5,57.5,55.56187012,58.20877628,56.5912106,53.75013545
DoranChang,17,21,30,,DM,,,0.06023287011,79,6.09%,5,53.44117647,53.59506775,56.24973672,54.62628831,53.74984788
succ1996,30,24,17,,DM,,,0.03674380297,55,4.35%,4,49.4140625,51.49103564,52.05607836,51.71557433,53.7502683
antheaguo,30,17,83,,DM,,,0,12,0.00%,2,45,45,30,37.5,45
D3VAR5H,100,90,,,DM,,,0.007674409483,27,0.87%,3,52.33146067,53.0312522,44.01110204,49.01312305,53.75001301
sadboiben,85,87,,,DM,,,0.03255871615,52,3.48%,4,52.15116279,52.93830504,52.017332,52.56602992,53.74957286
_awsome,47,82,,,DM,,,0.0009302948621,15,0.00%,2,56.25,54.97150723,36.92744316,45.98378175,53.74984
anon#4,82,79,,,DM,,,0.01186027929,30,2.61%,3,40.11627907,45.94310358,42.89646153,44.67394963,53.7502386
redCoder,85,83,,,Public channel,,,,,,,,,,,
Pra,60,47,,,Public channel,,,,,,,,,,,
Lolipop Princess,89,87,,,DM,,,,,,,,,,,
DagaKotowaru,77,41,,,DM,,,,,,,,,,,
Zheyp,83,70,73,,DM,,,,,,,,,,,
bart,55,52,,,,,,,,,,,,,,
RomanEmpire,79,77,47,,,,,,,,,,,,,
anon #5,77,27,,,DM,,,,,,,,,,,
mrbestdeni,80,87,,,DM,,,,,,,,,,,
Jhon,70,82,,,DM,,,,,,,,,,,
Amwal,79,73,,,Public channel,,,,,,,,,,,
anon #6,80,89,,,DM,,,,,,,,,,,
Michel Le Blanc,87,85,,,DM,,,,,,,,,,,
Alex,100,90,50,,Public channel with tag,,,,,,,,,,,
DoubleAron,100,89,89,,Public Channel with tag,,,,,,,,,,,
Gregor,79,80,,,,,,,,,,,,,,
Weibrine,79,60,,,Public Channel with tag,,,,,,,,,,,
AmUrell,55,35,,,Public Channel with tag,,,,,,,,,,,
Ruben,73,55,,,Public Channel with tag,,,,,,,,,,,
Patrick,83,35,,,DM,,,,,,,,,,,
ImperialraveN,82,55,,,Public Channel with tag,,,,,,,,,,,
$huai,90,85,,,Public Channel with tag,,,,,,,,,,,
Paul_1234567890,80,83,,,Public Channel with tag,,,,,,,,,,,
